index,raw_title,artist,song,feat,uploader,youtube_url,ziv,smo,google
11,ヨルシカ - 火星人（OFFICIAL VIDEO）,ヨルシカ,火星人,,ヨルシカ / n-buna Official,https://www.youtube.com/watch?v=OLRbIc8KZ_8,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E7%81%AB%E6%98%9F%E4%BA%BA%22+%E3%83%A8%E3%83%AB%E3%82%B7%E3%82%AB,https://stepmaniaonline.net/search/title/%E7%81%AB%E6%98%9F%E4%BA%BA,https://www.google.com/search?q=%E3%83%A8%E3%83%AB%E3%82%B7%E3%82%AB+%E7%81%AB%E6%98%9F%E4%BA%BA+stepmania+simfile+sm+download
12,ネクライトーキーMV「夢みるドブネズミ」,,ネクライトーキーMV「夢みるドブネズミ,,Necry Talkie ,https://www.youtube.com/watch?v=M2CVqcI-m4k,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E3%83%8D%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%88%E3%83%BC%E3%82%AD%E3%83%BCMV%E3%80%8C%E5%A4%A2%E3%81%BF%E3%82%8B%E3%83%89%E3%83%96%E3%83%8D%E3%82%BA%E3%83%9F%22,https://stepmaniaonline.net/search/title/%E3%83%8D%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%88%E3%83%BC%E3%82%AD%E3%83%BCMV%E3%80%8C%E5%A4%A2%E3%81%BF%E3%82%8B%E3%83%89%E3%83%96%E3%83%8D%E3%82%BA%E3%83%9F,https://www.google.com/search?q=%E3%83%8D%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%88%E3%83%BC%E3%82%AD%E3%83%BCMV%E3%80%8C%E5%A4%A2%E3%81%BF%E3%82%8B%E3%83%89%E3%83%96%E3%83%8D%E3%82%BA%E3%83%9F+stepmania+simfile+sm+download
13,【オリジナル楽曲】うい麦畑でつかまえて/ しぐれうい【ナナホシ管弦楽団】,,うい麦畑でつかまえて/ しぐれうい,,しぐれうい,https://www.youtube.com/watch?v=5uaHMmcReI0,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22%E3%81%86%E3%81%84%E9%BA%A6%E7%95%91%E3%81%A7%E3%81%A4%E3%81%8B%E3%81%BE%E3%81%88%E3%81%A6%2F+%E3%81%97%E3%81%90%E3%82%8C%E3%81%86%E3%81%84%22,https://stepmaniaonline.net/search/title/%E3%81%86%E3%81%84%E9%BA%A6%E7%95%91%E3%81%A7%E3%81%A4%E3%81%8B%E3%81%BE%E3%81%88%E3%81%A6%20%E3%81%97%E3%81%90%E3%82%8C%E3%81%86%E3%81%84,https://www.google.com/search?q=%E3%81%86%E3%81%84%E9%BA%A6%E7%95%91%E3%81%A7%E3%81%A4%E3%81%8B%E3%81%BE%E3%81%88%E3%81%A6%2F+%E3%81%97%E3%81%90%E3%82%8C%E3%81%86%E3%81%84+stepmania+simfile+sm+download
14,escape,,escape,,muque,https://www.youtube.com/watch?v=xzb-V-xIwCs,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22escape%22,https://stepmaniaonline.net/search/title/escape,https://www.google.com/search?q=escape+stepmania+simfile+sm+download
15,maigo,,maigo,,Quw,https://www.youtube.com/watch?v=FilS0ij6WNs,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22maigo%22,https://stepmaniaonline.net/search/title/maigo,https://www.google.com/search?q=maigo+stepmania+simfile+sm+download
16,7co - 0.0000% (Lyric Video),7co,0.0000%,,7co ,https://www.youtube.com/watch?v=bfn8yueBifw,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%220.0000%25%22+7co,https://stepmaniaonline.net/search/title/0.0000%25,https://www.google.com/search?q=7co+0.0000%25+stepmania+simfile+sm+download
17,7co '貴方観測日和' Lyric Video,,7co '貴方観測日和,,7co ,https://www.youtube.com/watch?v=6rjDmwYideE,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%227co+%27%E8%B2%B4%E6%96%B9%E8%A6%B3%E6%B8%AC%E6%97%A5%E5%92%8C%22,https://stepmaniaonline.net/search/title/7co%20%27%E8%B2%B4%E6%96%B9%E8%A6%B3%E6%B8%AC%E6%97%A5%E5%92%8C,https://www.google.com/search?q=7co+%27%E8%B2%B4%E6%96%B9%E8%A6%B3%E6%B8%AC%E6%97%A5%E5%92%8C+stepmania+simfile+sm+download
18,melt bitter,,melt bitter,,さとうもか,https://www.youtube.com/watch?v=c7-Dt-BnVVI,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22melt+bitter%22,https://stepmaniaonline.net/search/title/melt%20bitter,https://www.google.com/search?q=melt+bitter+stepmania+simfile+sm+download
19,memory - asmi (Official Lyric Video),memory,asmi,,asmi Official Channel,https://www.youtube.com/watch?v=i8A_h-8Kla8,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22asmi%22+memory,https://stepmaniaonline.net/search/title/asmi,https://www.google.com/search?q=memory+asmi+stepmania+simfile+sm+download
20,Naimononedari Revenge the First Take,,Naimononedari Revenge the First Take,,KANA-BOON Official YouTube Channel,https://www.youtube.com/watch?v=R2OvE1oX_fs,https://www.google.com/search?q=site%3Azenius-i-vanisher.com+%22Naimononedari+Revenge+the+First+Take%22,https://stepmaniaonline.net/search/title/Naimononedari%20Revenge%20the%20First%20Take,https://www.google.com/search?q=Naimononedari+Revenge+the+First+Take+stepmania+simfile+sm+download
